"track","category","method","config_id","runs","mean_runtime_sec","sd_runtime_sec","mean_sample_access","mean_memory_mb","mean_abs_error_mean","mean_abs_error_coef","mean_ci_cover_mean","mean_ci_cover_coef","mean_ci_width_mean","mean_ci_width_coef","mean_mse","mean_r2","stability_mean_sd","stability_coef_sd","stability_mse_sd","time_eff","memory_eff","access_eff","acc_score","stability_score","cov_score","score_time_budget","score_memory_budget","score_access_budget"
"Empirical","Distributed","One-step","K10",3,0.0431029796600342,0.00226079136278849,121200,0.0009765625,0,2.98279919282625e-13,1,1,0.190780652337843,0.015716005788601,24.0652343525266,0.915332654577915,0,5.99931486094109e-15,2.51214793389404e-15,0.999290029004982,0.999949998229104,0.949618702337792,1,0.999999999999971,1,0.999680513052242,0.999977499203091,0.977328416052006
"Empirical","Distributed","SAE","K5",3,0.0992643038431803,0.11063000637658,120000,0.000823974609375,0,0.000447168367849748,1,1,0.217054550188891,0.114648983568018,24.065249650779,0.915332600754944,0,0.000620002513085721,1.31395783429143e-05,0.998325354942872,0.999991666371517,0.950118764845606,0.99899786572697,0.997009465040306,1,0.998895662728732,0.999047395879683,0.977202697184962
"Empirical","Distributed","SAE","K20",3,0.0632820129394531,0.00093640510920329,120000,0.00128173828125,0,0.00266846883916575,1,1,0.191280737596389,0.0787251971372305,24.0653590012582,0.915332216033372,0,0.000792912624420294,7.94806607752617e-05,0.998943416985301,0.999866661944277,0.950118764845606,0.994019782538319,0.99617544627116,1,0.997431461531797,0.997082011017568,0.975460368068934
"Empirical","Hybrid","BLB->One-step","A",3,0.752656062444051,0.0319941078582011,983280,0.00203704833984375,0,4.93531141880036e-13,1,1,0.190780652337843,0.015716005788601,24.0652343525266,0.915332654577915,0,1.01705155325138e-14,2.51214793389404e-15,0.987102149452511,0.999660404639331,0.590373796724591,0.999999999999562,0.999999999999951,1,0.994195967253477,0.999847182087536,0.815668208525913
"Empirical","Subsampling","BLB","g0.7_s6_B40",3,0.500078678131104,0.0311034234056894,862080,0.00203704833984375,0.164320742019302,0.0108009638941347,1,1,1.54080200022157,0.57217337853124,24.0652343525266,0.915332654577915,0.227935885741665,0.016292114245146,0,0.991440630691442,0.999660404639331,0.640880110013752,0.975794316223562,0.921416226242431,1,0.987676294489396,0.975658438014432,0.829924060184435
"Empirical","Subsampling","SRS","frac0.05",3,0.00284838676452637,0.000375638061716984,6000,0.276336669921875,0.251484805555555,0.0321043565936419,1,0.666666666666667,0.864841708005561,0.0725933577988505,24.108615979418,0.915180027467156,0.0886298916583477,0.0125802673985639,0.0173354938008729,0.999981475693818,0.924755668429924,0.997624703087886,0.92805198580583,0.939320037155214,0.666666666666667,0.908143192427592,0.928822253256549,0.907082644754923
"Empirical","Subsampling","Stratified","frac0.10",3,0.00336098670959473,6.08392641518647e-05,12000,0.597541809082031,0.0317655833333319,0.0614472158692167,1,0,0.59409015635322,0.0469654512277839,24.1330279416441,0.915094140248774,0.0419099876747547,0.0640199155642096,0.0424378742830312,0.999972670846737,0.837042145242644,0.995124390548819,0.862292672127689,0.691204807124683,0,0.751790137125723,0.816712362028817,0.749608410991659
"Empirical","Mini-batch","SGD","bs256",3,18.1581767400106,0.17909526861282,2400000,3.66277313232422,0,0.0151852924736241,1,0.333333333333333,0.190780652337843,0.0157331616206792,24.1178272869223,0.915147619847815,0,0.012836131395424,0.059322360460817,0.688130311103382,0,0,0.965968742116452,0.938085896629349,0.333333333333333,0.714414366403947,0.525706239066628,0.404755726407425
"Empirical","Hybrid","One-step->SGD","B",3,25.0646940072378,0.320253146212791,1801200,3.66277313232422,0,0.128305808059504,1,0,0.190780652337843,0.0158524568990911,24.4864316053629,0.913850780236934,0,0.158220379533794,0.470618828793583,0.569498171208007,0,0.249531191398925,0.712458087344066,0.236836034781375,0,0.505634507614027,0.296727537526698,0.361649366699939
"Empirical","Mini-batch","SGD","bs64",3,58.2196969985962,7.15766685270411,2400000,3.66277313232422,0,0.159561773393008,1,0,0.190780652337843,0.0160172518300638,25.0012903789355,0.912039381894117,0,0.207321606816785,0.8351685310196,0,0,0,0.642411374807435,0,0,0.224843981182602,0.224843981182602,0.224843981182602
