"track","category","method","config_id","mean_abs_error_coef","mean_ci_cover_coef","mean_runtime_sec","stability_coef_sd"
"Empirical","Distributed","One-step","K10",2.98279919282625e-13,1,0.0431029796600342,5.99931486094109e-15
"Empirical","Distributed","SAE","K20",0.00266846883916575,1,0.0632820129394531,0.000792912624420294
"Empirical","Distributed","SAE","K5",0.000447168367849748,1,0.0992643038431803,0.000620002513085721
"Empirical","Mini-batch","SGD","bs256",0.0151852924736241,0.333333333333333,18.1581767400106,0.012836131395424
"Empirical","Mini-batch","SGD","bs64",0.159561773393008,0,58.2196969985962,0.207321606816785
"Empirical","Subsampling","BLB","g0.7_s6_B40",0.0108009638941347,1,0.500078678131104,0.016292114245146
"Empirical","Subsampling","SRS","frac0.05",0.0321043565936419,0.666666666666667,0.00284838676452637,0.0125802673985639
"Empirical","Subsampling","Stratified","frac0.10",0.0614472158692167,0,0.00336098670959473,0.0640199155642096
"Simulation","Distributed","One-step","K10",0.00389988146391625,1,0.0135023593902588,7.85046229341888e-17
"Simulation","Distributed","SAE","K20",0.00460511514108763,1,0.034658670425415,0.00466446442859748
"Simulation","Distributed","SAE","K5",0.00387461831611421,1,0.0116422971089681,0.00152555552352422
"Simulation","Mini-batch","SGD","bs256",0.0185738249367347,1,0.0889323552449544,0.00446002579912401
"Simulation","Mini-batch","SGD","bs64",0.00557266929060577,1,0.285336971282959,0.0065931978459233
"Simulation","Subsampling","BLB","g0.7_s6_B40",0.0221032853781043,1,0.493582328160604,0.0231649181933523
"Simulation","Subsampling","SRS","frac0.05",0.0275185047327581,1,0.00185537338256836,0.0431157531754405
"Simulation","Subsampling","Stratified","frac0.10",0.0584875151461519,1,0.0017699400583903,0.0567966064683621
